TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH
----------,-----------,---------,-----------,------------------------
historiek,historiekID,int,NO,NULL
historiek,userID,int,YES,NULL
historiek,periode_start,date,YES,NULL
historiek,periode_einde,date,YES,NULL
muziek,muziekID,int,NO,NULL
muziek,titel,nvarchar,YES,255
muziek,artiest,nvarchar,YES,255
muziek,bron,nvarchar,YES,255
muziekAnalyse,analyseID,int,NO,NULL
muziekAnalyse,muziekID,int,YES,NULL
muziekAnalyse,stemmingType,nvarchar,YES,255
muziekAnalyse,energieLevel,nvarchar,YES,255
muziekAnalyse,valence,int,YES,NULL
muziekAnalyse,tempo,nvarchar,YES,255
muziekAnalyse,bron,nvarchar,YES,255
notificatie,notificatieID,int,NO,NULL
notificatie,userID,int,YES,NULL
notificatie,tekst,nvarchar,YES,255
notificatie,datum_tijd,datetime,YES,NULL
profiel,profielID,int,NO,NULL
profiel,userID,int,YES,NULL
profiel,voorkeur_genres,nvarchar,YES,255
profiel,stemmingstags,nvarchar,YES,255
statistiek,statistiekID,int,NO,NULL
statistiek,userID,int,YES,NULL
statistiek,trend_type,nvarchar,YES,255
statistiek,resultaat,nvarchar,YES,255
stemming,stemmingID,int,NO,NULL
stemming,userID,int,YES,NULL
stemming,typeID,int,YES,NULL
stemming,datum_tijd,datetime,YES,NULL
stemming,beschrijving,nvarchar,YES,255
stemmingMuziek,stemmingID,int,YES,NULL
stemmingMuziek,muziekID,int,YES,NULL
stemmingMuziek,PK,int,NO,NULL
stemmingType,typeID,int,NO,NULL
stemmingType,label,nvarchar,YES,255
stemmingType,emoji,nvarchar,YES,255
stemmingType,waarde,int,YES,NULL

(39 rows affected)
